#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume
128,credo ut intelligam,us,0,600,0.7,234,0.38,1.35,credo ut intelligam,2020-10-15 20:55:29,"Image pack,Top stories,Thumbnails",1900
129,702 housing,us,0,600,1.6,560,1.01,2.84,702 housing,2020-10-16 14:14:59,Sitelinks,600
130,mg magnette,us,2,600,0.3,334,0.56,1.41,mg magnette,2020-10-19 09:33:53,Featured snippet,3800
131,gears of war 2 release date,us,37,600,0,68,0.12,1.14,gears of war 2,2020-10-17 09:09:56,"Sitelinks,People also ask",700
132,music house museum,us,1,600,3,375,0.67,1.39,music house museum,2020-10-18 04:38:13,"Sitelinks,Image pack",600
133,cooler master cosmos ii,us,16,600,0.15,613,0.97,1.23,cooler master cosmos ii,2020-10-16 13:45:29,Image pack,2800
134,harper and row,us,0,600,0,296,0.48,1.08,harper and row,2020-10-19 13:58:42,"Sitelinks,People also ask",1000
135,igd stock,us,10,600,0.3,228,0.37,2.24,igd stock,2020-10-18 06:36:12,"Knowledge card,Image pack",600
136,kuva farming,us,0,600,,677,1.14,1.19,warframe kuva,2020-10-18 08:35:56,"People also ask,Image pack",1000
137,where does most of our oxygen come from,us,50,600,0,283,0.49,1.13,phytoplankton oxygen,2020-10-13 11:37:03,"Featured snippet,Thumbnails,People also ask",600
138,perfect player iptv,us,24,600,0.06,414,0.64,1.26,perfect player apk,2020-10-18 02:12:01,Sitelinks,7900
139,ocean's deadliest,us,6,600,0,353,0.6,1.16,ocean's deadliest,2020-10-13 23:59:51,"Top stories,Thumbnails,People also ask,Image pack",1000
140,things cats can't eat,us,31,600,,570,0.95,1.13,can cats eat chocolate,2020-10-17 04:45:52,,600
141,horse locations rdr2,us,18,600,,563,0.89,1.29,rdr2 horse locations,2020-10-17 17:48:10,"Featured snippet,People also ask,Image pack",800
142,armored core 2019,us,7,600,,540,0.9,1.29,armored core 6,2020-10-16 15:10:13,"People also ask,Sitelinks,Image pack",600
143,jtisallbusiness,us,0,600,0,,,,jtisallbusiness,2020-10-16 20:27:53,Image pack,800
144,bee gees don't forget to remember,us,8,600,,456,0.74,1.05,bee gees don't forget to remember,2020-10-17 01:15:30,"Thumbnails,Sitelinks",2700
145,irs form 4506t-ez,us,39,600,,601,1.03,1.17,4506t-ez,2020-10-12 20:24:12,People also ask,600
146,since i been loving you,us,33,600,0,404,0.69,1.41,since i've been loving you,2020-10-17 16:08:54,"Thumbnails,Sitelinks,People also ask",1000
147,cm-4228hd,us,2,600,,766,1.21,1.29,channel master cm-4228hd,2020-10-14 04:23:51,"Top stories,Thumbnails",700
148,man lips,us,0,500,1,112,0.23,1.31,man lips,2020-10-02 14:23:55,"Image pack,Top stories,Thumbnails",1400
149,cody deaner,us,4,500,0,256,0.49,1.08,cody deaner,2020-10-14 22:19:57,"Sitelinks,Tweet box,Top stories,Thumbnails",1000
150,nitrate acid,us,28,500,0.15,83,0.16,1.07,nitric acid,2020-10-18 01:56:01,"Sitelinks,People also ask,Top stories,Thumbnails",900
151,benicia jobs,us,2,500,0.7,,,,benicia jobs,2020-10-08 11:12:07,,500
152,sakura roanoke,us,2,500,0,341,0.69,1.5,sakura roanoke,2020-10-12 19:21:36,Image pack,500
153,hearthstone battlegrounds release,us,34,500,,331,0.65,1.23,hearthstone battlegrounds release date,2020-10-16 17:17:11,"Featured snippet,People also ask,Image pack",1300
154,why is google docs so slow,us,0,500,0,144,0.29,1.16,google docs typing lag,2020-10-02 07:37:41,"Featured snippet,People also ask",500
155,life of galileo,us,8,500,0.1,367,0.7,1.32,life of galileo,2020-10-17 15:07:20,"Featured snippet,Thumbnails,People also ask",1300
156,cha cha slide roblox id,us,0,500,,574,1.18,1.62,cha cha slide roblox id,2020-10-14 04:12:05,Featured snippet,600
157,wasp factory,us,4,500,0.3,398,0.74,1.23,the wasp factory,2020-10-13 09:42:26,"People also ask,Top stories,Thumbnails",1800
158,anamchara,us,4,500,0,309,0.61,1.5,anamchara,2020-10-16 16:17:33,"People also ask,Sitelinks,Image pack",700
159,authentic japanese fried rice recipe,us,12,500,0,365,0.71,1.16,japanese fried rice,2020-10-17 23:02:11,"Top stories,Thumbnails,People also ask",500
160,superheroes photo,us,2,500,1.6,,,,superheroes photo,2020-10-07 03:44:59,"Image pack,Top stories,Thumbnails",500
161,cambridge common menu,us,0,500,0,427,0.87,2.58,cambridge dinner,2020-10-01 16:29:02,Image pack,500
162,gigabyte oc guru,us,0,500,0,684,1.25,1.1,gigabyte oc guru,2020-10-14 20:04:55,"People also ask,Top stories,Thumbnails,Image pack",3200
163,yamaha us,us,83,500,1.4,538,1.07,1.35,yamaha,2020-10-17 23:39:33,Sitelinks,1300
164,html history,us,22,500,,663,1.32,1.26,history of html,2020-10-18 08:54:29,"Featured snippet,Thumbnails,Sitelinks,People also ask",1800
165,port 1935,us,8,500,0,306,0.56,1.12,port 1935,2020-10-18 15:38:48,People also ask,900
166,century 21 chico,us,2,500,0.9,564,1.16,2.72,century 21 chico,2020-10-03 23:28:57,"Sitelinks,Image pack",500
167,us cost of living index,us,75,500,1.1,553,1.1,1.15,cost of living comparison,2020-10-17 15:19:22,"Featured snippet,Sitelinks",500
168,chicago endurance sports,us,0,500,0,499,0.98,1.49,chicago endurance sports,2020-10-13 07:55:25,"Sitelinks,Top stories,Thumbnails",500
169,the vug,us,4,500,0,,,,the vug,2020-10-13 20:09:25,"Sitelinks,Top stories,Thumbnails",600
170,narcotizing dysfunction,us,1,500,0.02,197,0.4,1.33,narcotizing dysfunction,2020-10-09 09:47:35,"Featured snippet,Thumbnails,Top stories",600
171,zillow sycamore il,us,0,500,,,,,zillow sycamore il,2020-10-15 17:12:52,"Sitelinks,Image pack",500
172,tarpon inn port aransas,us,1,500,0.9,342,0.66,1.52,tarpin inn port aransas,2020-10-15 11:39:18,"Sitelinks,Top stories,Thumbnails",500
173,akatsuki kancolle,us,0,500,0,370,0.71,1.36,akatsuki kancolle,2020-10-16 15:16:41,Sitelinks,1500
174,catonsville dental care,us,6,500,8,293,0.61,1.94,catonsville dentist,2020-10-05 03:53:26,"Sitelinks,Image pack,Adwords bottom",500
175,guy consolmagno,us,20,500,0,415,0.86,1.26,guy consolmagno,2020-10-04 04:52:26,"Tweet box,Top stories,Thumbnails",900
176,kings head coach,us,11,500,0,106,0.21,1.06,sacramento kings coaches,2020-10-17 22:22:58,People also ask,500
177,order of odd fellows,us,39,500,0.03,459,0.84,1.09,odd fellows,2020-10-18 16:20:13,"Sitelinks,People also ask",600
178,moscow climate,us,15,500,0,286,0.53,1.12,moscow climate,2020-10-12 02:36:52,"People also ask,Image pack,Top stories,Thumbnails",1200
179,keene village plastics,us,0,500,,396,0.8,1.63,keene village plastics,2020-10-13 01:36:20,"Sitelinks,Top stories,Thumbnails,Image pack",500
180,demon hunter dps,us,13,500,0,486,1,1.13,havoc demon hunter,2020-10-02 18:42:59,"Top stories,Thumbnails,People also ask,Image pack",1100
181,auction masters mn,us,10,500,0.15,446,0.92,1.51,auction masters,2020-10-04 14:53:09,"Sitelinks,Top stories,Thumbnails",500
182,evolution worksheet,us,1,500,0.04,668,1.33,1.32,evolution worksheet,2020-10-18 06:17:58,Image pack,600
183,mckendree cylinder,us,0,500,0,485,0.99,1.67,mckendree cylinder,2020-09-29 19:10:27,"Top stories,Thumbnails",700
184,pope scientific,us,1,500,1.2,529,1,1.52,pope scientific,2020-10-17 09:49:55,"Sitelinks,Top stories,Thumbnails",500
185,nscorp owp,us,9,500,0.09,,,,owp ns,2020-10-13 18:50:52,,500
186,are peas paleo,us,30,500,0,251,0.5,1.11,are peas paleo,2020-10-14 15:32:13,"Featured snippet,People also ask,Top stories,Thumbnails",700
187,marcus theaters bellevue,us,2,500,4,317,0.64,1.87,twin creek,2020-10-16 19:46:18,"Knowledge card,Image pack",500
188,god of war niflheim alloy,us,0,500,,529,1.03,1.62,god of war niflheim,2020-10-17 03:06:21,Image pack,600
189,dakin shelter,us,8,450,2.5,444,0.95,1.33,dakin animal shelter,2020-10-05 14:54:47,"Top stories,Thumbnails,Image pack",500
190,lake county indiana library,us,11,450,0,449,1.02,2.58,lake county public library,2020-10-04 04:41:34,"Sitelinks,Image pack",450
191,mississippi college jobs,us,3,450,1.2,427,0.94,1.52,mississippi college jobs,2020-10-03 02:21:50,Sitelinks,450
192,occrra login in,us,6,450,,,,,occra login,2020-09-24 19:00:45,"Sitelinks,Image pack",450
193,xbox site,us,92,450,0.8,452,1.05,1.25,xbox,2020-10-07 04:23:17,"Sitelinks,People also ask",2900
194,montserrat font pairing,us,2,450,0,618,1.34,1.21,montserrat font pairing,2020-10-07 01:45:17,"People also ask,Image pack",1000
195,panera bread winston salem,us,0,450,0.6,186,0.41,1.58,panera bread winston salem nc,2020-10-16 19:46:07,Image pack,450
196,george lucas in love,us,11,450,0,380,0.82,1.14,george lucas in love,2020-10-03 14:45:38,,900
197,yuanyang,us,12,450,0,85,0.19,1.14,yuanyang,2020-10-14 18:40:46,"Sitelinks,Image pack,Top stories,Thumbnails",2400
198,management science editorial board,us,10,450,0,514,1.12,3.03,management science editorial board,2020-10-05 05:52:26,,500
199,hiwa,us,3,450,0,142,0.31,1.04,hiwa k,2020-09-26 18:40:21,"Top stories,Thumbnails,Image pack",1500
200,sam houston high school san antonio,us,3,450,0.06,200,0.45,1.16,sam houston high school,2020-09-19 00:56:18,"Top stories,Thumbnails,Image pack",450
201,florence county school district,us,28,450,0.15,467,1.07,2.3,florence county school district,2020-10-02 14:34:15,"Top stories,Thumbnails,Image pack",450
202,vajajay,us,0,450,0,195,0.43,1.11,vajajay,2020-10-12 16:58:20,"Featured snippet,Image pack,Top stories,Thumbnails",500
203,utah state government,us,15,450,0.15,380,0.89,1.16,utah.gov,2020-10-05 03:42:17,"Sitelinks,People also ask",450
204,black sterling friesians,us,0,450,0.09,,,,black sterling friesians,2020-10-10 16:34:49,"Sitelinks,Top stories,Thumbnails,Image pack",500
205,major groove,us,5,450,0,265,0.59,1.32,major groove dna,2020-10-15 15:24:26,"Featured snippet,Thumbnails,People also ask,Top stories",1000
206,mother 1 giygas,us,7,450,0,219,0.5,1.81,giygas,2020-10-06 06:23:14,People also ask,450
207,wnc login,us,30,450,0,514,1.1,1.53,mywnc,2020-10-17 13:00:43,Sitelinks,450
208,hilton university of florida,us,2,450,1.3,354,0.75,1.09,hilton gainesville fl,2020-10-05 20:30:07,"Adwords top,Sitelinks,Top stories,Thumbnails",500
209,ben moore twitter,us,0,450,0.02,449,0.99,2.96,ben moore twitter,2020-10-11 23:42:11,"Top stories,Thumbnails,Image pack",500
210,gatorade wiki,us,4,450,0,419,0.93,1.04,gatorade,2020-10-04 21:57:56,"Sitelinks,People also ask,Image pack",600
211,sce&g columbia sc,us,10,450,0.9,254,0.54,1.27,sceg,2020-10-16 21:27:40,"Sitelinks,Image pack",500
212,shiny colors,us,1,450,0,379,0.83,1.15,idolmaster shiny colors,2020-09-21 18:00:58,,5000
213,go comics a-z,us,,450,0,,,,,,,450
214,moins,us,0,450,0,121,0.27,1.08,moins in english,2020-09-22 23:04:05,"Knowledge card,Top stories,Thumbnails",28000
215,air france flight 358,us,1,450,0,322,0.7,1.16,air france flight 358,2020-10-16 16:30:30,"Sitelinks,People also ask",900
