#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume
58,shine on you crazy diamond chords,us,0,2200,0,2695,1.25,1.36,shine on you crazy diamond chords,2020-10-18 08:46:23,Image pack,6800
59,utap,us,19,2100,0,946,0.46,1.43,utap,2020-10-16 09:14:56,"Sitelinks,People also ask",12000
60,justice court case lookup,us,39,2100,0.6,2203,1.07,2.97,harris county justice of the peace case search,2020-10-18 03:05:57,,2100
61,the fate of empires,us,5,2100,0.4,1256,0.61,1.81,the fate of empires,2020-10-19 20:05:02,Sitelinks,2400
62,lugaru,us,28,2100,0,1258,0.6,1.11,lugaru,2020-10-16 18:22:06,Sitelinks,4300
63,sq11 mini dv,us,1,2100,,1776,0.86,1.48,sq11 manual,2020-10-17 10:31:26,"People also ask,Image pack",8200
64,epiphany images,us,0,2100,0,935,0.44,1.27,epiphany images,2020-10-20 09:54:47,Image pack,2200
65,gazlowe,us,11,2100,0,1543,0.73,1.09,gazlowe,2020-10-14 09:19:13,,5000
66,honor thy pet,us,0,2100,1.4,1019,0.48,3,honor thy pet,2020-10-16 15:15:34,Sitelinks,2100
67,monte carlo integration,us,0,2100,0,2485,1.17,1.4,monte carlo integration,2020-10-18 06:50:35,"Sitelinks,People also ask",4600
68,center for american progress jobs,us,2,2100,0.2,2065,0.98,1.77,center for american progress jobs,2020-10-15 17:32:00,"Sitelinks,Top stories,Thumbnails,Tweet box",2100
69,osrs bats,us,0,2000,0,2096,1.06,1.13,bats osrs,2020-10-14 21:23:00,"Sitelinks,Top stories,Thumbnails,People also ask,Image pack",2600
70,magic logs osrs,us,0,2000,0,2151,1.07,1.24,magic logs osrs,2020-10-17 13:48:40,Sitelinks,3000
71,hige wolf's rain,us,2,2000,0.04,1144,0.56,2.05,hige wolf's rain,2020-10-16 19:17:45,People also ask,2100
72,boot manager,us,53,2000,0.08,1503,0.76,1.24,windows boot manager,2020-10-16 17:47:25,"People also ask,Image pack",11000
73,refurbished macbook pro 13,us,20,1900,1,2569,1.36,1.31,refurbished macbook pro,2020-10-16 12:12:04,"Adwords top,Adwords bottom,Shopping results,Thumbnails",2300
74,amazon drive login,us,74,1900,0.6,1976,1.06,1.65,amazon drive,2020-10-17 12:02:32,People also ask,2700
75,togo roadlink,us,10,1900,,1787,0.93,1.76,togo roadlink,2020-10-20 02:33:55,"Sitelinks,Image pack",1900
76,testbirds,us,3,1900,3.5,1969,1.04,1.32,testbirds,2020-10-17 11:05:50,"Sitelinks,People also ask",15000
77,the sermon notebook,us,4,1900,3,2010,1.06,8.08,the sermon notebook,2020-10-14 10:48:44,"Sitelinks,Top stories,Thumbnails,Image pack",2000
78,brandenburg test,us,32,1900,0,1678,0.9,1.17,brandenburg test,2020-10-17 21:58:40,"People also ask,Sitelinks",1900
79,spaced repetition system,us,47,1900,0.7,1536,0.81,1.6,spaced repetition,2020-10-17 05:51:23,"Sitelinks,People also ask",3000
80,inkscape review,us,23,1900,0.7,1786,0.95,1.12,inkscape review,2020-10-15 14:00:07,"Featured snippet,Thumbnails,People also ask,Sitelinks,Top stories",2600
81,mariko shinoda,us,8,1900,0,849,0.44,1.32,mariko shinoda,2020-10-17 08:29:43,Sitelinks,8100
82,mentes millonarias frases,us,0,1900,,272,0.14,5.77,mentes millonarias frases,2020-10-16 15:46:41,Image pack,5700
83,witcher 3 alchemy build,us,2,1900,0,2407,1.28,1.6,witcher 3 builds,2020-10-13 22:42:54,"People also ask,Image pack",3000
84,going in raw,us,0,1800,0,1533,0.86,2.4,going in raw,2020-10-17 09:02:48,"Tweet box,Image pack",2300
85,powercharm mhw,us,0,1800,,2096,1.16,1.07,mhw powercharm,2020-10-20 17:04:46,People also ask,2300
86,efilmy,us,0,1800,0,1951,1.06,4.08,efilmy,2020-10-17 08:00:56,Sitelinks,215000
87,general hospital daily recaps,us,5,1800,0.03,,,,general hospital recaps,2020-10-17 11:45:48,"Sitelinks,Image pack",2000
88,daar,us,18,1800,0,1296,0.73,1.99,daar,2020-10-16 21:13:47,,8400
89,war of the vikings,us,9,1800,1.6,1095,0.62,1.1,war of the vikings,2020-10-16 19:03:32,People also ask,8700
90,usb to xlr,us,7,1800,0.9,1838,1.05,1.14,usb to xlr,2020-10-15 07:27:25,"People also ask,Top stories,Thumbnails,Image pack",2300
91,folk victorian,us,4,1800,0.09,817,0.45,1.3,folk victorian,2020-10-19 03:29:40,"Image pack,People also ask",1900
92,the week subscription,us,36,1800,1.9,2813,1.6,1.2,the week subscription,2020-10-17 19:25:23,,3700
93,roku sd card,us,4,1800,0.6,1750,0.98,1.23,roku sd card,2020-10-20 08:58:46,"People also ask,Image pack",1800
94,reduced shakespeare company,us,4,1800,0.7,1663,0.95,1.21,reduced shakespeare company,2020-10-15 12:50:10,"Sitelinks,Top stories,Thumbnails",2200
95,audioshield,us,12,1800,0.09,1303,0.72,1.18,audioshield,2020-10-20 14:01:26,,3900
96,120/9,us,0,1800,,363,0.2,1.2,120/9,2020-10-18 03:45:02,Knowledge card,2500
97,basic economy vs main cabin,us,28,1800,0,1152,0.64,1.1,basic economy vs main cabin,2020-10-13 11:13:52,"Featured snippet,People also ask,Top stories,Thumbnails,Image pack",1800
98,columbia silver ridge,us,1,1700,0.9,1461,0.85,1.14,columbia silver ridge,2020-10-16 13:19:38,"Sitelinks,Image pack",2700
99,슈가맨,us,4,1700,0.6,1533,0.88,1.28,슈가맨,2020-10-16 07:25:34,Sitelinks,14000
100,our lady peace superman's dead,us,0,1700,0,711,0.41,1.1,our lady peace superman's dead,2020-10-16 23:14:13,"Thumbnails,Sitelinks",1900
101,slipknot crowz,us,0,1700,0.1,1083,0.63,1.3,slipknot crowz,2020-10-15 10:44:37,,2600
102,lake of shadows,us,4,1700,,1253,0.73,1.13,lake of shadows,2020-10-17 11:02:58,"People also ask,Image pack",2500
103,kinda funny patreon,us,6,1700,0,2203,1.26,1.55,kinda funny patreon,2020-10-18 03:33:38,,2300
104,milan talkies,us,11,1700,0,449,0.27,1.14,milan talkies,2020-10-18 01:47:40,,16000
105,windows 10 disk image,us,50,1700,4.5,1888,1.14,1.09,windows 10,2020-10-20 01:53:15,Sitelinks,2500
106,kamau,us,7,1700,0.06,712,0.42,1.16,kamau,2020-10-16 05:34:28,"Sitelinks,People also ask,Tweet box,Top stories,Thumbnails",4700
107,icynene insulation,us,16,1700,4.5,1169,0.7,1.14,icynene,2020-10-18 11:46:36,"Featured snippet,People also ask,Sitelinks",1900
108,seafood pie,us,2,1700,0.5,1464,0.86,1.66,seafood pie,2020-10-14 16:16:44,"Top stories,Thumbnails",2700
109,amazon prime hanna,us,45,1700,,1060,0.62,1.21,hanna amazon,2020-10-14 17:40:34,"Sitelinks,People also ask,Top stories,Thumbnails",2800
110,what does ova stand for in anime,us,2,1700,0,388,0.23,1.08,what is an ova,2020-10-17 21:54:20,"Featured snippet,People also ask,Top stories,Thumbnails",2000
111,emotional and behavioral disorders,us,18,1700,2,1389,0.84,1.23,ebd,2020-10-18 14:56:23,"Featured snippet,Thumbnails,People also ask,Sitelinks",2200
112,breath of the wild vah ruta,us,7,1700,,1416,0.83,1.26,divine beast vah ruta,2020-10-16 18:06:53,"People also ask,Image pack",2300
113,saturday supercade,us,1,1600,0,1064,0.67,1.37,saturday supercade,2020-10-17 22:37:19,Sitelinks,1900
114,olympus tough camera,us,35,1600,0.4,1366,0.86,1.21,olympus tough camera,2020-10-14 08:02:22,"Top stories,Thumbnails,Image pack",2300
115,country club nissan,us,0,1600,4,1226,0.78,1.75,country club nissan,2020-10-16 19:36:42,Sitelinks,1600
116,create empty numpy array,us,3,1600,0,2120,1.32,1.16,np.empty,2020-10-13 06:25:58,"People also ask,Top stories,Thumbnails",2500
117,kamen rider memes,us,0,1600,0,1369,0.88,1.86,kamen rider meme,2020-10-14 16:42:48,,1900
118,f test in r,us,0,1600,0,1948,1.2,1.22,f test in r,2020-10-18 10:40:43,"People also ask,Image pack",2200
119,less than or equal to matlab,us,2,1600,0,1278,0.79,1.14,<= matlab,2020-10-16 08:47:24,"Featured snippet,Sitelinks,People also ask",1900
120,amazing grace and chuck,us,7,1600,0.2,937,0.59,1.33,amazing grace and chuck,2020-10-17 12:03:42,Sitelinks,1800
121,production assistant jobs los angeles,us,1,1600,0.9,2031,1.26,1.75,production assistant jobs los angeles,2020-10-14 19:05:15,Adwords bottom,1600
122,nikon a900,us,5,1600,0.6,1512,0.93,1.35,nikon coolpix a900,2020-10-16 21:07:33,Image pack,12000
123,i have a bad case of diarrhea,us,12,1600,0,1364,0.85,1.21,i have a bad case of diarrhea,2020-10-17 19:24:09,,2700
124,boy dies,us,5,1600,0,1804,1.1,5.36,1 year old boy,2020-10-16 10:02:17,"Top stories,Thumbnails,Image pack",1900
125,android chrome dark mode,us,34,1600,,1039,0.63,1.19,chrome dark mode,2020-10-17 10:48:01,"Featured snippet,People also ask",2900
126,core set 2020 card list,us,9,1600,,1656,1.01,1.51,core set 2020 card list,2020-10-17 07:01:09,Image pack,1700
127,emmymadeinjapan divorce,us,0,1600,,1352,0.86,1.22,emmymadeinjapan divorce,2020-10-17 14:37:39,"People also ask,Image pack,Adwords bottom",1600
128,marble hornets comic,us,1,1600,,1776,1.1,1.56,marble hornets comic,2020-10-18 11:52:56,"Featured snippet,People also ask",1700
129,h2so4 acid,us,39,1600,1.1,81,0.05,1.08,sulfuric acid,2020-10-13 15:32:38,"Featured snippet,Thumbnails,People also ask,Top stories",1800
130,hi fi shark,us,0,1600,0,1509,0.94,3.57,hifishark,2020-10-18 13:38:03,"Sitelinks,Image pack",5000
131,3d drawing software,us,88,1600,3,1556,0.96,1.14,sketchup,2020-10-17 13:51:14,Sitelinks,4400
132,magic eagle,us,4,1600,0.3,1015,0.62,1.06,magic eagle keyboard,2020-10-15 11:35:07,"Image pack,Sitelinks,People also ask",2800
133,ジョジョ,us,51,1600,0.3,792,0.51,1.39,ジョジョの奇妙な冒険,2020-10-17 15:59:08,Sitelinks,204000
134,jodl,us,12,1600,0,1112,0.7,1.15,alfred jodl,2020-10-20 09:16:35,"Sitelinks,People also ask",11000
135,rpm to radians per second,us,6,1600,0,1271,0.8,1.21,rpm to rad/s calculator,2020-10-14 09:41:24,"Featured snippet,People also ask,Top stories,Thumbnails",2100
136,zap coin,us,53,1600,,1767,1.08,3.64,zap coin,2020-10-17 13:26:30,"Sitelinks,People also ask",1800
137,tim ferriss blog,us,44,1600,0.09,612,0.38,1.2,tim,2020-10-18 05:59:10,"Sitelinks,People also ask,Top stories,Thumbnails,Image pack",2600
138,find facebook id,us,54,1600,0.03,2217,1.41,1.46,find facebook id,2020-10-17 08:50:05,"Sitelinks,People also ask",7200
139,dyenomite,us,3,1600,0.7,1692,1.06,1.52,dyenomite,2020-10-16 23:30:22,"Adwords top,Sitelinks,Image pack",1600
140,pathfinder vs d&d,us,6,1600,0,1432,0.92,1.12,pathfinder vs d&d,2020-10-19 00:54:22,"People also ask,Image pack",2000
141,civ 6 maps,us,11,1500,1.2,1708,1.16,1.3,civ 6 map types,2020-10-16 15:21:52,"Sitelinks,Image pack",2300
142,how to turn off screen overlay,us,5,1500,,556,0.36,1.18,screen overlay,2020-10-15 13:15:21,"Featured snippet,Thumbnails,People also ask,Top stories,Image pack",5700
143,moabite stone,us,20,1500,0,1269,0.86,1.29,mesha stele,2020-10-20 06:14:15,"Featured snippet,Thumbnails,People also ask,Sitelinks",1700
144,investorfuse,us,3,1500,0,1504,1.02,1.54,investorfuse,2020-10-16 16:07:51,"Adwords top,Sitelinks,Image pack",1500
145,rvz03,us,4,1500,,1626,1.11,1.67,rvz03,2020-10-17 18:34:27,"Sitelinks,Image pack",3500
146,die fahne hoch,us,5,1500,0.02,1094,0.75,1.25,die fahne hoch,2020-10-15 00:46:46,"Thumbnails,Sitelinks,Image pack",12000
147,westside yoga,us,8,1500,3.5,1431,0.97,2.2,westside yoga,2020-10-20 10:32:47,"Sitelinks,Image pack",2300
148,blues junior,us,20,1500,0.6,1014,0.68,1.39,fender blues jr,2020-10-16 06:00:31,"Top stories,Thumbnails,People also ask,Sitelinks",3400
149,booking.com careers,us,15,1500,,1490,1.01,1.17,booking.com careers,2020-10-15 11:27:55,"Sitelinks,Top stories,Thumbnails",5000
150,what is anchor text,us,68,1500,,638,0.42,1.12,what is anchor text,2020-10-18 19:23:57,People also ask,2700
151,the apprentice nudality,us,1,1500,0,959,0.65,1.09,the apprentice nudality,2020-10-15 10:06:27,,2200
152,throbak pickups,us,0,1500,0.8,1602,1.04,1.73,throbak pickups,2020-10-17 18:24:58,"Sitelinks,Top stories,Thumbnails,Image pack",1700
153,landmark's albany twin,us,0,1500,,443,0.3,1.27,albany twin,2020-10-16 09:09:48,Image pack,1500
154,wii roms reddit,us,0,1500,,2548,1.69,1.3,wii roms reddit,2020-10-14 16:46:36,,1700
155,moab tour company,us,12,1500,1.6,1047,0.71,1.94,moab tour company,2020-10-19 04:55:21,"Sitelinks,Image pack",1500
156,cool games inc,us,3,1500,1.6,1535,1.02,1.78,coolgames inc,2020-10-17 10:02:25,,2100
157,public ivy league,us,12,1500,0,1460,0.99,1.13,public ivy,2020-10-19 14:20:12,"Sitelinks,People also ask",1600
158,boston straight pride parade,us,33,1500,,1614,1.07,1.18,straight pride parade,2020-10-14 03:22:32,,1800
159,mutant year zero switch,us,9,1500,,1387,0.93,1.36,mutant year zero switch,2020-10-15 14:57:27,"Top stories,Thumbnails",2700
160,garlic reaper sauce,us,1,1500,,1649,1.13,1.13,garlic reaper sauce,2020-10-20 03:55:16,"People also ask,Top stories,Thumbnails,Image pack",1500
161,uw fond du lac,us,3,1500,7,1499,0.98,2.27,uw fon du lac,2020-10-17 23:11:04,"Sitelinks,Image pack",1500
162,item (tv series),us,11,1500,,381,0.25,1.67,item kdrama,2020-10-17 03:46:45,Sitelinks,8200
163,wait wait don't tell me schedule,us,6,1500,,1269,0.87,1.12,wait wait don't tell me,2020-10-17 22:57:31,"Featured snippet,People also ask",1500
164,aadvantage account,us,52,1500,11,1490,1.01,1.32,american airlines login,2020-10-14 17:26:24,"Sitelinks,People also ask,Image pack",1500
165,overcooked 2 pc,us,36,1500,,1178,0.78,1.2,overcooked 2,2020-10-19 03:46:49,"Sitelinks,People also ask",5100
166,warframe requiem relics,us,0,1500,,1357,0.92,1.14,warframe relics,2020-10-19 14:00:49,"Sitelinks,Top stories,Thumbnails,People also ask,Image pack",1600
167,best things to 3d print,us,33,1500,2.5,2301,1.56,1.33,cool things to 3d print,2020-10-14 15:47:50,"Sitelinks,People also ask,Top stories,Thumbnails,Image pack",1800
168,computer system validation,us,9,1500,4.5,1211,0.83,1.51,computer system validation,2020-10-16 19:26:16,"Adwords top,People also ask,Adwords bottom",2700
169,lackadaisical meaning,us,18,1500,0,194,0.13,1.26,lackadaisical,2020-10-16 21:57:59,"Knowledge card,People also ask",11000
170,apple ipad 2018,us,67,1500,,1362,0.89,1.12,2018 ipad,2020-10-20 11:01:53,"Sitelinks,People also ask,Image pack",16000
171,obs cube,us,3,1500,,1491,1.02,1.44,obs cube mod,2020-10-17 07:58:09,Featured snippet,7400
172,new yahoo mail,us,70,1500,1.3,1342,0.91,1.17,yahoo mail sign up,2020-10-13 00:28:44,"Top stories,Thumbnails,People also ask",3900
173,kimber montana,us,0,1500,0.5,1446,0.98,1.49,kimber montana,2020-10-19 21:51:42,Image pack,1700
174,lisa winter,us,2,1500,0.15,1447,0.97,1.22,lisa winter,2020-10-20 09:30:15,,2100
175,necro spells eq,us,0,1500,0,1539,1.03,4.38,necro spells eq,2020-10-15 10:28:28,"Sitelinks,Top stories,Thumbnails,Image pack",1500
176,how to get kanais cube,us,8,1500,0,1128,0.74,1.21,diablo 3 cube,2020-10-20 06:40:50,"Featured snippet,People also ask,Sitelinks",1800
177,mi vida loca bbc,us,2,1500,0,1660,1.09,2.71,mi vida loca,2020-10-19 05:45:29,"Sitelinks,People also ask,Image pack",1900
178,gillo pontecorvo,us,10,1400,0,556,0.39,1.17,gillo pontecorvo,2020-10-18 23:26:08,"Sitelinks,People also ask",4800
179,arachnophilia,us,11,1400,0,712,0.52,1.18,arachnophilia,2020-10-17 18:31:52,"Featured snippet,Thumbnails,Sitelinks",2400
180,wild words font,us,0,1400,0,1883,1.32,1.15,wild words font,2020-10-13 15:47:05,Image pack,2400
181,neo geo controller,us,12,1400,0.08,522,0.37,1.21,neo geo mini controller,2020-10-20 05:45:05,"Image pack,People also ask",1800
182,hilton washington dulles airport,us,7,1400,2.5,860,0.61,1.3,hilton dulles,2020-10-17 22:01:06,Sitelinks,1500
183,1 inch punch,us,12,1400,1,1140,0.79,1.15,one inch punch,2020-10-17 19:08:25,People also ask,2400
184,pigma,us,5,1400,0.6,475,0.35,1.07,sakura pens,2020-10-17 15:24:00,"Sitelinks,Image pack,People also ask",5300
185,mt olympus washington,us,8,1400,,669,0.48,1.2,mt olympus washington,2020-10-20 04:07:57,"Sitelinks,People also ask,Image pack",1400
186,marquis at carmel commons,us,0,1400,0.9,931,0.66,2.31,marquis at carmel commons,2020-10-16 09:07:21,Image pack,1400
187,que cosa,us,0,1400,,474,0.34,1.1,que cosa,2020-10-14 15:22:09,"Knowledge card,People also ask,Top stories,Thumbnails,Image pack",2100
188,mattamy homes tucson,us,2,1400,2,1659,1.19,2.18,mattamy homes tucson,2020-10-20 14:06:58,"Sitelinks,Image pack",1400
189,chez ami,us,3,1400,0.04,920,0.66,1.27,chez ami,2020-10-17 13:30:26,Image pack,1500
190,qrp radio,us,26,1400,0.25,2218,1.61,1.74,qrp radio,2020-10-17 04:20:27,"Sitelinks,People also ask,Image pack",1700
191,winter 2019 predictions,us,43,1400,,1361,0.99,1.34,farmers almanac weather,2020-10-19 01:39:25,People also ask,1500
192,grange hill,us,3,1400,0,702,0.51,1.14,grange hill,2020-10-18 07:43:52,"Sitelinks,People also ask",19000
193,rugby pass,us,16,1400,0.15,1185,0.87,1.21,rugby pass,2020-10-17 07:39:37,"Sitelinks,People also ask,Tweet box,Image pack",16000
194,family guy season 7,us,1,1400,0.15,626,0.46,1.39,family guy season 7,2020-10-14 09:35:43,"Top stories,Thumbnails,People also ask",2600
195,smite duel tier list,us,0,1400,,1659,1.19,1.61,smite duel tier list,2020-10-17 10:09:15,Image pack,1900
196,megacast,us,1,1400,0.15,655,0.46,1.15,megacast,2020-10-18 01:46:52,Image pack,3100
197,note 8 sd card,us,1,1400,,826,0.6,1.17,galaxy note 8 sd card,2020-10-17 00:54:27,People also ask,1900
198,fortune 500 companies 2019,us,80,1400,,1673,1.2,1.28,fortune 500,2020-10-14 06:47:06,"Sitelinks,People also ask,Image pack",2900
199,crime diaries night out,us,1,1400,,1103,0.81,1.3,crime diaries night out,2020-10-15 20:19:57,,1800
200,fallout 76 canvas bag,us,25,1400,,1175,0.84,1.18,fallout 76 canvas bag,2020-10-17 05:01:28,Image pack,2400
201,chibi avatar maker,us,21,1400,0.9,2012,1.46,1.27,chibi maker,2020-10-14 03:04:18,"Top stories,Thumbnails,Image pack",2000
202,eco leather,us,1,1400,0.8,880,0.61,1.14,eco leather,2020-10-17 20:12:47,"Featured snippet,Thumbnails,People also ask",3000
203,minute vs minute,us,24,1400,0,344,0.25,1.11,minute,2020-10-20 03:07:29,"Featured snippet,People also ask,Sitelinks",1600
204,ms the world,us,30,1400,0.7,1334,0.98,1.16,the world cruise ship,2020-10-20 14:34:10,"Sitelinks,People also ask",2300
205,mediterranean food pyramid,us,62,1400,1.2,909,0.66,1.43,mediterranean diet pyramid,2020-10-13 03:43:25,"Image pack,Top stories,Thumbnails",1500
206,sims 4 build mode,us,6,1400,0.7,797,0.57,1.26,sims 4 foundation,2020-10-19 21:52:50,Featured snippet,1700
207,school improvement plan,us,3,1400,3,990,0.71,1.22,school improvement plan,2020-10-17 09:00:15,"Featured snippet,People also ask",3600
208,postmodern feminism,us,0,1300,0,807,0.63,1.22,postmodernism feminism,2020-10-16 22:33:56,"Featured snippet,Thumbnails,People also ask",3500
